Temperature,Humidity,Target,,1 - Cercospora Leaf Spot
35.00C,91.00%,1,,2 - Powdery Mildew
30.00C,91.00%,1,,3 - Phytophthora Blight
26.00C,91.00%,1,,
27.00C,91.00%,1,,
28.00C,91.00%,1,,
29.00C,91.00%,1,,
31.00C,91.00%,1,,
32.00C,91.00%,1,,
33.00C,91.00%,1,,
34.00C,91.00%,1,,
26.00C,92.00%,1,,
27.00C,92.00%,1,,
28.00C,92.00%,1,,
29.00C,92.00%,1,,
30.00C,92.00%,1,,
31.00C,92.00%,1,,
32.00C,92.00%,1,,
33.00C,92.00%,1,,
34.00C,92.00%,1,,
35.00C,92.00%,1,,
26.00C,93.00%,1,,
27.00C,93.00%,1,,
28.00C,93.00%,1,,
29.00C,93.00%,1,,
30.00C,93.00%,1,,
31.00C,93.00%,1,,
32.00C,93.00%,1,,
33.00C,94.00%,1,,
34.00C,94.00%,1,,
35.00C,94.00%,1,,
26.00C,94.00%,1,,
27.00C,94.00%,1,,
28.00C,94.00%,1,,
29.00C,94.00%,1,,
21.00C,96.00%,2,,
22.00C,96.00%,2,,
23.00C,96.00%,2,,
24.00C,96.00%,2,,
25.00C,96.00%,2,,
26.00C,96.00%,"1, 2",,
27.00C,96.00%,"1, 2",,
28.00C,96.00%,"1, 2",,
29.00C,96.00%,"1, 2",,
21.00C,97.00%,2,,
22.00C,97.00%,2,,
23.00C,97.00%,2,,
24.00C,97.00%,2,,
25.00C,97.00%,2,,
26.00C,97.00%,"1, 2",,
27.00C,97.00%,"1, 2",,
28.00C,97.00%,"1, 2",,
29.00C,97.00%,"1, 2",,
21.00C,98.00%,2,,
22.00C,98.00%,2,,
23.00C,98.00%,2,,
24.00C,98.00%,2,,
25.00C,98.00%,2,,
26.00C,98.00%,"1, 2",,
27.00C,98.00%,"1, 2",,
28.00C,98.00%,"1, 2",,
29.00C,98.00%,"1, 2",,
21.00C,99.00%,2,,
22.00C,99.00%,2,,
23.00C,99.00%,2,,
24.00C,99.00%,2,,
25.00C,99.00%,2,,
26.00C,99.00%,"1, 2",,
27.00C,99.00%,"1, 2",,
28.00C,99.00%,"1, 2",,
25.00C,61.00%,3,,
26.00C,61.00%,3,,
27.00C,61.00%,3,,
28.00C,61.00%,3,,
29.00C,61.00%,3,,
25.00C,65.00%,3,,
26.00C,65.00%,3,,
27.00C,65.00%,3,,
28.00C,65.00%,3,,
29.00C,65.00%,3,,
25.00C,67.00%,3,,
26.00C,67.00%,3,,
27.00C,67.00%,3,,
28.00C,67.00%,3,,
29.00C,67.00%,3,,
25.00C,71.00%,3,,
26.00C,71.00%,3,,
27.00C,71.00%,3,,
28.00C,71.00%,3,,
29.00C,71.00%,3,,
25.00C,75.00%,3,,
26.00C,75.00%,3,,
27.00C,75.00%,3,,
28.00C,75.00%,3,,
29.00C,75.00%,3,,
25.00C,77.00%,3,,
26.00C,77.00%,3,,
27.00C,77.00%,3,,
28.00C,77.00%,3,,
29.00C,77.00%,3,,
